名称,价格,面积,朝向,户型,楼层,总楼层
?友家 · 交道口北二条35号院3居室-北卧,?3290,?10.6 ㎡,?北,?3室1厅,?5,?6层
,,,,,,
?友家 · 香饵胡同3居室-北卧,?3430,?约14 ㎡,?北,?3室2厅,?6,?6层
,,,,,,
?友家 · 北河沿大街3居室-北卧,0,?12.8 ㎡,?北,?3室1厅,?5,?6层
,,,,,,
?友家 · 韶九胡同15号院5居室-南卧,?3230,?约8 ㎡,?南,?5室2厅,?6,?6层
,,,,,,
?友家 · 海运仓小区3居室-东卧,?3130,?8.2 ㎡,?东,?3室1厅,?7,?9层
,,,,,,
?友家 · 朝阳门内大街3居室-南卧,?3890,?13 ㎡,?南,?3室1厅,?5,?6层
,,,,,,
?友家 · 海运仓小区3居室-南卧,?4290,?8.8 ㎡,?南,?3室1厅,?6,?6层
,,,,,,
?友家 · 朝阳门内大街3居室-北卧,?3090,?9 ㎡,?北,?3室1厅,?5,?6层
,,,,,,
?友家 · 豆瓣胡同3居室-西卧,?3590,?9.3 ㎡,?西,?3室1厅,?4,?10层
,,,,,,
?友家 · 豆瓣胡同3居室-北卧,?3590,?8.7 ㎡,?北,?3室1厅,?19,?21层
,,,,,,
?友家 · 南门仓胡同3居室-西卧,?3460,?9.2 ㎡,?西,?3室1厅,?4,?6层
,,,,,,
?友家 · 仓南胡同2居室-南卧,?5390,?11.3 ㎡,?南,?2室1厅,?2,?6层
,,,,,,
?友家 · 朝阳门内大街3居室-北卧,?3430,?10 ㎡,?北,?3室1厅,?5,?6层
,,,,,,
?友家 · 仓南胡同12号院3居室-北卧,?3330,?10 ㎡,?北,?3室1厅,?6,?6层
,,,,,,
?友家 · 南门仓胡同3居室-东卧,?4260,?13 ㎡,?东,?3室1厅,?3,?6层
,,,,,,
?友家 · 豆瓣胡同3居室-北卧,?3730,?8.9 ㎡,?北,?3室1厅,?10,?21层
,,,,,,
?友家 · 南门仓胡同3居室-西卧,?4260,?11.2 ㎡,?西,?3室1厅,?3,?6层
,,,,,,
?友家 · 海运仓小区3居室-北卧,?3190,?8.1 ㎡,?北,?3室1厅,?4,?7层
,,,,,,
