﻿孙铁宗,﻿天津化工研究院503组
﻿石世俊,"﻿1. 化工部天津化工研究院;
2. 南京油脂化工厂"
﻿陶庆泰,
﻿王冰,
﻿杜启云,
﻿方庆发,﻿安庆石化总厂化肥厂
﻿陈曙光,﻿安庆石化总厂化肥厂
﻿杨宪文,﻿石家庄热电厂
﻿王二福,﻿石家庄热电厂
﻿马玉,﻿劳动人事部
﻿劳嘉寿,﻿旅大市劳动局
﻿朱鼎一,﻿徐州磁性材料厂研究所
﻿陈蓬西,﻿天津化工研究院
﻿朱鼎一,﻿徐州磁性材料厂研究所
﻿高志强,﻿徐州磁性材料厂研究所
﻿杨金相,﻿北京化工二厂
﻿张广智,﻿北京化工二厂
﻿陈学华,﻿化工部第一胶片厂
﻿张怀达,﻿化工部第一胶片厂
﻿韩铎,﻿大庆油田科学研究设计院
﻿王明耀,﻿浙江宁波漂染厂
﻿本刊编辑部,
﻿洪璇,﻿江苏如东化肥厂
﻿杨秀芳,﻿江苏如东化肥厂
﻿母德全,﻿四州石油局天然气研究所
﻿张振荣,﻿天津化工研究院
﻿朱启冀,﻿安微拖拉机厂
﻿李裕芳,﻿天津化工研究院
﻿李寿椿,﻿南京化工学院
﻿董太一,﻿化学工业部第四设计院
﻿刘魁元,﻿天津化工研究院
﻿本刊编辑部,
﻿钱庭宝,"﻿
2. 天津市图书馆"
﻿胡安朋,"﻿
2. 天津市图书馆"
﻿王志中,"﻿
2. 大同机务段"
﻿王奎友,"﻿
2. 大同机务段"
﻿王纪南,"﻿
2. 大同机务段"
﻿史灏英,"﻿
2. 大同机务段"
﻿倪诗芳,﻿安庆石化总厂设计研究院
﻿罗伟君,﻿安庆石化总厂设计研究院
﻿鲍其鼐,﻿安庆石化总厂设计研究院
﻿龙荷云,﻿南京化工学院
﻿周祥基,﻿南京化工学院
﻿张裕茂,﻿南京化工学院
﻿陆柱,﻿华东化工学院
﻿朱迎春,﻿华东化工学院
﻿周国光,﻿华东化工学院
﻿陈中兴,﻿华东化工学院
﻿李雁,﻿华东化工学院
﻿刘桂兰,﻿上海石化总厂化工二厂
﻿余琨,
﻿赵书培,﻿河北沧州化肥厂科研所
﻿曾文平,﻿长庆石油勘探局采油二部攻关队
﻿吴丽芳,﻿云南云丰造纸厂
﻿张晓静,﻿山东莱芜硫酸厂
﻿孙裕生,﻿河北化工学院
﻿董文庚,﻿河北化工学院
﻿刘玉梅,﻿河北化工学院
﻿邸志敏,﻿河北化工学院
﻿贾新勇,﻿河北化工学院
﻿龚云寿,﻿贵州都匀针织内衣厂
﻿王乃忠,﻿兰州铁道学院
﻿季学福,﻿燕山石油化学总公司动力处
﻿王大中,﻿北京钢铁设计研究总院
﻿王礼康,﻿南京化学工业公司研究院一室
﻿钱庭宝,"﻿
2. 天津塑料九厂"
