﻿孙铁宗,﻿天津化工研究院503组
﻿赵淑良,﻿天津大学化工系
﻿王德义,﻿天津大学化工系
﻿吕松颐,
﻿祝健美,
﻿林超,﻿上海第一钢铁厂
﻿项成林,﻿上海吴泾化工厂
﻿刘风辉,﻿辽宁省北票矿物局
﻿严霜,"﻿
2. 上海测试研究所"
﻿冯凤娣,"﻿
2. 上海测试研究所"
﻿张寿恺,
﻿齐冬子,﻿化工部化肥司
﻿何铁林,﻿化工部天津化工研究院
﻿于浩,﻿南京东机务段
﻿林国康,﻿福建省劳动局
﻿郭维华,﻿哈尔滨建筑工程学院
﻿姜安玺,﻿哈尔滨建筑工程学院
﻿谭秋月,﻿哈尔滨建筑工程学院
﻿杨树雄,﻿上海半导体器件研究所
﻿连日新,﻿南京化工厂污水处理场
﻿金烈安,
﻿董志刚,
﻿杨正泉,﻿抚顺纺织工业研究所
﻿袁长征,﻿北京电力科学研究所
﻿陈录华,﻿贵州赤水天然气化肥厂
﻿时明水,﻿化工部第一胶片厂
﻿杨志英,﻿化工部第一胶片厂
﻿黄永年,﻿中南电力设计院
﻿李敬泽,﻿邯郸热电厂
﻿廖焕兴,
﻿刘洪福,﻿齐鲁石化公司第二化肥厂
﻿唐应书,﻿重庆远大织布厂
﻿陈定熊,﻿金华锅炉容器检验所
﻿周增枫,"﻿
2. 上海压延厂"
﻿柳能弘,"﻿
2. 上海压延厂"
﻿潘献辉,﻿湖南资江氮肥厂
﻿李永生,﻿东北电力学院应用化学系
﻿承慰才,﻿东北电力学院应用化学系
﻿刘国平,﻿西安热工研究所
﻿何广仁,﻿西安热工研究所
﻿张广孙,﻿西安热工研究所
﻿李文融,
﻿林楚端,
﻿徐德兴,
﻿林明鹤,﻿化工部工业水处理科技情报中心站
﻿刘荣光,
﻿郑士忠,
﻿周国光,
﻿孙国强,﻿上海宝钢电厂
﻿劳法勇,﻿浙江余杭争光化工厂
﻿刘瑞兴,﻿唐山工程技术学院
﻿杨承伟,﻿华东电力试验研究所
﻿赵书培,﻿沧州化肥厂
﻿华绍雄,﻿天津化工研究院
﻿莫文海,﻿无锡电影胶片厂
﻿宋雪清,﻿无锡电影胶片厂
﻿刘桂兰,﻿上海石化总厂化工二厂
﻿刘万鹏,﻿抚顺发电厂
﻿许燕,﻿衡阳市毛纺厂
﻿吴登贤,﻿大庆化肥厂水汽车间
﻿乔联贵,﻿大庆化肥厂水汽车间
﻿姚品权,﻿青岛四方机车车辆工厂
﻿王长福,﻿北京染料厂
﻿孙玉成,﻿安庆石化总厂炼油厂
﻿李天赐,﻿蒲田赤港华侨塑料厂
﻿陈纪良,﻿副厂长
﻿李文融,
﻿郭容修,
﻿白荣明,
﻿肖锦,﻿华南工学院
﻿蒋家乾,
﻿奚风翔,﻿吉林省通化市水处理设备厂
﻿刘维琳 钱庭宝,﻿1. 天津第九塑料厂;
﻿阎吉毅,﻿武汉市化工研究所
﻿刘志,﻿锦州一五五厂
﻿杜赦林,"﻿
2. 环境保护研究所"
﻿肖步诚,"﻿
2. 环境保护研究所"
﻿阎守瑜,"﻿
2. 环境保护研究所"
﻿洪永民,﻿荆门炼油厂设备研究所
﻿李英凤,﻿沦州化肥厂
﻿孙德宽,﻿大连金光化工厂
﻿张敏,﻿黑龙江虎林发电厂
﻿张正震,﻿湖北宜城鄂西化工厂设计科
﻿孙国华,﻿上海石油化工总厂涤纶厂
﻿张殿臣,﻿吉林电石厂
﻿刘代万,﻿北京胜利化工厂
﻿宋业林,﻿辽阳石化公司热电厂
﻿肖创英,﻿湖北省松木坪电厂
﻿郭德荣,﻿齐齐哈尔钢厂动力分厂
﻿袁有才,﻿南开大学环境科学系
﻿庄源益,﻿南开大学环境科学系
﻿谭凤生,﻿南开大学环境科学系
﻿聂云,﻿南开大学环境科学系
﻿施燮钧,﻿武汉水利电力学院
﻿王方,﻿清华大学热能工程系
﻿符迈群,﻿成都科技大学
﻿赵任辉,
﻿傅立群,
﻿唐开华,
﻿张常书,﻿江西省萍乡市腐植酸工业公司
﻿宋正孝,"﻿
2. 天津大学化工系"
﻿牛文泰,"﻿
2. 天津大学化工系"
﻿姜志新,"﻿
2. 天津大学化工系"
﻿湛竞清,"﻿
2. 天津大学化工系"
﻿朱龙,﻿东北工学院化学系
﻿曹炳明,﻿中国科学院广州化学研究所
﻿于忠民,"﻿
2. ■利夫兰大学"
﻿洪永哲,"﻿
2. ■利夫兰大学"
﻿任必章,"﻿
2. ■利夫兰大学"
﻿邓名馨,"﻿
2. 天津化工研究院"
﻿尹世荣,"﻿
2. 天津化工研究院"
﻿朱兴宝,"﻿
2. 湖北省黄石发电厂"
﻿尹宝珍,"﻿
2. 湖北省黄石发电厂"
﻿郭静东,"﻿
2. 湖北省黄石发电厂"
﻿刘元文,﻿天津纺织工学院纺化系化工室
﻿鲍其鼐,﻿金陵石化公司研究院
﻿张正襄,﻿湖北省宜城县鄂西化工厂
﻿林秋其,"﻿
2. 南京航空学院"
﻿王天成,"﻿
2. 南京航空学院"
﻿杨海萍,"﻿
2. 南京航空学院"
﻿马金骧,"﻿
2. 天津大寺中学"
﻿张为,"﻿
2. 天津大寺中学"
﻿许燕,﻿衡阳铁路车辆段
﻿毛奕璋,﻿东方红炼油厂研究所
﻿吴立旭,﻿贵州遵义碱厂
﻿王东山,﻿湖南省湘峰机械厂
﻿杨宝林,﻿天津大学
﻿汤克峻,"﻿
2. 大连工学院化工学院"
﻿袁万钟,"﻿
2. 大连工学院化工学院"
﻿陈启俊,﻿天津化工研究院
﻿柯伟卿,﻿清华大学化学工程系
﻿万兴荣,﻿航空工业部第四规划设计研究院
﻿刘中厚,﻿上海工业锅炉研究所
﻿刘恩义,﻿化工部天津化工研究院
﻿石毓澊,
﻿宾红志,﻿衡阳内衣厂
﻿李道棠,"﻿
2. 上海交通大学"
﻿沈建伟,"﻿
2. 上海交通大学"
﻿高颖,"﻿
2. 上海交通大学"
﻿杨宝康,"﻿
2. 上海交通大学"
﻿俞佩金,"﻿
2. 上海交通大学"
﻿杨荣珍,"﻿
2. 上海交通大学"
﻿朱章玉,"﻿
2. 上海交通大学"
﻿赵淑良,"﻿
2. 天津大学化工系"
﻿周秋雁,"﻿
2. 天津大学化工系"
﻿赵书培,﻿沧州化肥厂
﻿简明,﻿成都织巾厂
﻿张海平,"﻿
2. 东北电力学院应用化学系"
﻿岳慧灵,"﻿
2. 东北电力学院应用化学系"
﻿李永生,"﻿
2. 东北电力学院应用化学系"
﻿王崇高,﻿江苏省泰州化肥厂研究所
﻿鄂懋兰,﻿天津化工研究院
﻿吴立旭,﻿贵州遵义碱厂
﻿吴国忠,﻿锦州炼油厂
﻿曾卫江,﻿株洲硬质合金厂环保室
﻿严晔赓,﻿吉林省电力试验研究所
﻿刘美竹,﻿下花园发电总厂
﻿彭景辉,﻿石家庄市电化厂
﻿陈军,﻿贵州凯里床单厂
﻿王俐,﻿内蒙乌盟朱日和列车电站
﻿王守模,"﻿
2. 大庆林源炼油厂"
﻿蔺守俭,"﻿
2. 大庆林源炼油厂"
﻿李永恒,﻿湖南省湘江氮肥厂
﻿范懋功,
﻿何铁林,﻿化工部天津化工研究院
﻿钱庭宝,"﻿
2. 南开大学化学系"
﻿李玉秀,"﻿
2. 南开大学化学系"
﻿田园,﻿浙江省永康溶剂厂
﻿陈玉莉,﻿上海工业大学环境工程教研室
﻿李锋,﻿沈阳环境科学研究所
﻿马广文,﻿吉林省环境保护研究所
﻿杜军,﻿西北矿冶研究院
﻿杨璋,"﻿
2. 南京化工学院"
﻿李寿椿,"﻿
2. 南京化工学院"
﻿汤莉,"﻿
2. 南京化工学院"
﻿孙国珏,﻿宝钢自备电厂
﻿沈忠虎,"﻿
2. 浙江制丝一厂"
﻿赵宝仙,"﻿
2. 浙江制丝一厂"
﻿张焕祯,﻿邯钢化肥厂生产技术科
﻿朱来齐,﻿上海吴淞煤气厂设计研究室
﻿牛前,
﻿王汝钧,﻿合肥江淮化肥厂
﻿﻿﻿林一雄,"﻿
2. 华侨大学化工系 (81)届毕业生"
﻿蔡伟兴,"﻿
2. 华侨大学化工系 (81)届毕业生"
﻿庄惠,"﻿
2. 华侨大学化工系 (81)届毕业生"
﻿陈自强,﻿天津市环境保护研究所
﻿袁世平,﻿东北电力学院应用化学系
﻿唐先岳,"﻿
2. 洞庭氮肥厂中心试验室"
﻿林为群,"﻿
2. 洞庭氮肥厂中心试验室"
﻿林明鹤,﻿化工部工业水处理科技情报中心站
﻿赵文波,﻿电子工业部第十设计研究院
﻿张毅,﻿化工部工业水处理科技情报中心站
﻿窦照英,﻿华北电力试验研究所
﻿高以烜,"﻿
2. 兰州铁道学院"
﻿叶凌碧,"﻿
2. 兰州铁道学院"
﻿辛世崇,﻿吉林化工学院环境工程教研室
﻿周承华,﻿国营八一六厂
﻿陈毓琛,﻿大连工学院化工学院环境工程教研室
﻿杨凤林,﻿大连工学院化工学院环境工程教研室
﻿薛大明,﻿大连工学院化工学院环境工程教研室
﻿周集体,﻿大连工学院化工学院环境工程教研室
﻿赵雅芝,﻿大连工学院化工学院环境工程教研室
﻿郑邦乾,﻿成都科技大学高分子研究所
﻿朱清泉,﻿成都科技大学高分子研究所
﻿何鼎胜,﻿湖南师范大学化学系
﻿陈君毅,﻿湖南师范大学化学系
﻿吴三毛,﻿江西电力试验研究所
﻿姚振淮,﻿上海工业大学化学化工系
﻿漆德瑶,﻿上海工业大学化学化工系
﻿乐岫云,﻿铁道部科学研究院金化所
﻿姚剑锋,﻿冶金部建筑研究总院
﻿陶松松,﻿冶金部建筑研究总院
﻿李厚梅,﻿航空工业部武汉仪表厂
﻿王新梅,﻿航空工业部武汉仪表厂
﻿周崇岭,﻿航空工业部武汉仪表厂
﻿郭起华,﻿湘潭市丝绸厂水处理站
﻿季永生,﻿新疆电力学校
﻿雷彦璋,﻿南阳油田炼油厂
﻿宋业林,﻿辽阳石化总公司热电厂化学车间
﻿李裕芳,﻿天津化工研究院
﻿张寿恺,
﻿张毅,﻿天津化工研究院
﻿高以烜,"﻿
2. 兰州铁道学院"
﻿叶凌碧,"﻿
2. 兰州铁道学院"
﻿谢志明,﻿中山大学高分子研究所
﻿李卓美,﻿中山大学高分子研究所
﻿阎炳林,﻿化工部天津化工研究院
﻿刘纪祥,﻿化工部天津化工研究院
﻿贾国荃,"﻿
2. 济南铁路局机务处"
﻿胡菊明,"﻿
2. 济南铁路局机务处"
﻿李寿椿,"﻿
2. 南京化工学院"
﻿王春鼎,"﻿
2. 南京化工学院"
﻿申立贤,﻿北京环境保护科学研究所
﻿罗耀宗,﻿上海自动化仪表一厂
﻿巴烽翔,﻿上海自动化仪表一厂
﻿张乃弟,"﻿
3. 武汉味精厂"
﻿杨建伟,"﻿
3. 武汉味精厂"
﻿崔俊鑫,"﻿
3. 武汉味精厂"
﻿鞠晓江,
﻿邵志良,﻿国营五三○八厂
﻿曲增德,﻿青岛胶南化肥厂
﻿季学福,﻿燕化公司动力处
﻿杨渤洪,﻿锦西炼油厂
﻿任大恭,
﻿都国友,
﻿孙刚,﻿本钢供水厂办公室
﻿秦观月,﻿齐鲁橡胶厂
﻿陈怀景,﻿宁夏石咀山钢厂
﻿王大中,﻿北京钢铁设计研究总院
﻿高以烜,"﻿
2. 兰州铁道学院"
﻿叶凌碧,"﻿
2. 兰州铁道学院"
﻿钱伯章,﻿上海高桥石化公司炼油厂
﻿费书安,﻿西安冶金建筑学院
﻿沈西坤,﻿南通市经委节能办
﻿张嘉起,"﻿
2. 首都钢铁公司炼铁厂"
﻿游敬熙,"﻿
2. 首都钢铁公司炼铁厂"
﻿林一雄,"﻿
3. 泉州市环境学会"
﻿郭秋霨,"﻿
3. 泉州市环境学会"
﻿杨金木,"﻿
3. 泉州市环境学会"
﻿李雪清,"﻿
3. 泉州市环境学会"
﻿李绍宏,﻿辽阳石油化纤公司研究院
﻿高松亭,﻿南京大学环科所
﻿王连生,﻿南京大学环科所
﻿陈禹玲,﻿南京大学环科所
﻿韩朔暌,﻿南京大学环科所
﻿罗东升,﻿青海省环境科学研究所
﻿张乔莺,﻿上海市工业微生物研究所
﻿陈宝英,﻿上海市工业微生物研究所
﻿何伟光,﻿中山大学化学系
﻿林森树,﻿中山大学化学系
﻿李卓美,﻿中山大学化学系
﻿蔡德永,﻿兰州炼油厂
﻿白秀荣,﻿中国市政工程东北设计院
﻿陈德廉,﻿上海石化总厂化工二厂
﻿刘桂兰,﻿上海石化总厂化工二厂
﻿郭存仁,﻿开封市火电厂
﻿姜玉兰,﻿冶金部建筑研究总院
﻿朱松泉,﻿江苏省如东县化肥厂
﻿马德一,﻿江苏省如东县化肥厂
﻿徐奇焕,﻿湖北省松木坪电厂
﻿王俊学,﻿新乡市化肥厂
﻿赵文英,﻿新乡市化肥厂
﻿邵名钧,﻿杭州钢铁厂
﻿王光辉,﻿云南昆钢动力厂
﻿王莹,﻿沈阳环境科学研究所
﻿陈惠国,﻿常熟市环保局
﻿徐永华,﻿同济大学
﻿汤惠民,﻿同济大学
﻿陈怀景,
﻿何天翔,﻿马鞍山钢铁公司设计研究院
﻿﻿王彦林,﻿河南大学化学系
﻿王万奇,﻿清江染整厂
﻿卢建国,﻿清江染整厂
﻿朱中雨,﻿清江染整厂
﻿汪根甲,﻿中国有色金属工业总公司劳动保护研究所
﻿李希勤,"﻿
3. 湖北省化学研究所"
﻿李小定,"﻿
3. 湖北省化学研究所"
﻿王先厚,"﻿
3. 湖北省化学研究所"
﻿李厚梅,﻿航空工业部武汉仪表厂
﻿周焕祥,﻿山东省轻工业设计院
﻿刘金标,﻿天津化工研究院
﻿刘俊东,﻿辽源发电厂
﻿唐先岳,﻿洞庭氮肥厂中心试验室
﻿邵名钧,﻿杭钢热电车间
﻿陈鑫,﻿淮北焦化厂
﻿王宁,﻿淮北焦化厂
﻿谷文超,﻿哈尔滨铁路局齐齐哈尔化验室
﻿屠福康,﻿杭州市工具仪表厂
﻿蒋家乾,
﻿张志良,﻿保定热电厂
﻿常洪利,﻿保定市环境保护局
﻿隋风秋,﻿齐鲁石化公司橡胶厂供排水车间
﻿刁月民,﻿南京化工学院
﻿谢倩水,﻿南京化工学院
﻿蒋晓艳,﻿南京市化工设计研究所
﻿刘忠厚,﻿上海工业锅炉研究所
﻿周柏青,﻿武汉水利电力学院
﻿刘青山,﻿清华大学核能技术研究所
﻿王丽萍,﻿清华大学核能技术研究所
﻿吴秋林,﻿清华大学核能技术研究所
﻿周鑫根,﻿浙江省城乡建设厅
﻿孙家寿,﻿武汉化工学院
﻿喻宗友,﻿武汉化工学院
﻿杨家玲,﻿天津师范大学化学系
﻿孙玉琴,﻿燕山石油化工公司合成橡胶厂
﻿李长久,﻿东北电力学院应用化学系
﻿徐凛然,﻿东北电力学院应用化学系
﻿赵书培,﻿河北省沧州化肥厂
﻿孙荣先,﻿新乡市103厂
﻿姚坚,﻿中国人民解放军4724厂
﻿周积甲,﻿西北纺织学院纺化系环工教研室
﻿田修志,﻿西南电管理试验研究所
﻿蔡邦肖,﻿国家海洋局第二海洋研究所水处理技术开发中心
﻿张寿恺,﻿上海城建学院
﻿白荣明,﻿国家海洋局天津海水淡化研究所
﻿潘达植,﻿沈阳有色金属加工设计院
﻿刘昌学,﻿云南天然气化工厂
﻿季学福,﻿燕化公司动力处
﻿杨璋,﻿南京化工学院应用化学系
﻿杨茂余,﻿南京化工学院应用化学系
﻿郑士忠,"﻿
2. 环境工程研究所"
﻿朱迎春,"﻿
2. 环境工程研究所"
﻿陈中兴,"﻿
2. 环境工程研究所"
﻿周国光,"﻿
2. 环境工程研究所"
﻿刘长星,﻿四川江北离心机研究所
﻿王大中,﻿北京钢铁设计研究总院
﻿汤益良,﻿南京市化工设计研究所
﻿王占文,﻿南京化工学院
﻿陈玉銮,﻿南京化工学院
﻿于志刚,﻿南京化工学院
﻿刘魁然,﻿化工部天津化工研究院
﻿兰成君,﻿化工部天津化工研究院
﻿叶序,
﻿刘其顺,﻿山东省薛城焦化厂
﻿吴国忠,﻿锦州炼油厂
﻿唐应书,﻿重庆市远大织布厂
﻿杜忠明,﻿方南开远解放军化肥厂电厂
﻿李民权,﻿衡阳工学院
﻿张鑫珩,﻿江苏省泰兴县机械工业公司
﻿刘维琳,"﻿
2. 南开大学化学系"
﻿钱庭宝,"﻿
2. 南开大学化学系"
﻿刘魁元,﻿化工部工业水处理科技情报中心站
﻿颜万辰,
﻿于浩,﻿南京铁路分局东机务段
﻿刘瑞兴,﻿唐山工程技术学院
﻿金振岐,﻿河南油田设计院
﻿俞敦义,﻿华中工学院化学系
﻿胡三林,﻿华中工学院化学系
﻿孙魁,﻿华中工学院化学系
﻿张慧达,﻿华中工学院化学系
﻿胡勇有,﻿华南工学院
﻿肖锦,﻿华南工学院
﻿马元庚,﻿南京林业大学
﻿张仲燕,﻿上海工业大学
﻿朱英芬,﻿上海工业大学
﻿王英华,﻿上海工业大学
﻿吴三毛,﻿江西省电力试验研究所
﻿李英风,﻿沧州化肥厂
﻿卞光玉,﻿江苏省台南盐场化工厂
﻿朱恩光,﻿乌鲁木齐石化总厂技术科
﻿黄登峰,﻿湖北松滋松平坪电厂
﻿肖创英,﻿湖北松滋松平坪电厂
﻿诸育德,﻿上海石化总厂研究院水资中心
﻿沈大节,﻿金陵石化公司栖霞山化肥厂
﻿杨时祥,﻿黑龙江省浩良河化肥厂
﻿白光晋,﻿山西省锅炉压力容器检验所
﻿张敏,﻿苏州市吴县发电厂
﻿解涛,﻿南开大学化学系
﻿刘维琳,﻿南开大学化学系
﻿钱庭宝,﻿南开大学化学系
﻿蒋明,﻿中国石化总公司精细石油化工科技情报中心站
﻿王莹,﻿沈阳环境科学研究所
﻿安鼎年,﻿天津大学
﻿辛志伟,﻿天津大学
﻿张常书,"﻿1. 萍乡市腐植酸工业公司;
2. 萍乡市水处理技术服务站"
﻿赵淑良,"﻿
2. 天津市环保所"
﻿周秋雁,"﻿
2. 天津市环保所"
﻿丁洪,"﻿
2. 天津市环保所"
﻿蒋佩霞,﻿吉林化工学院
﻿高庆丰,﻿前进化工厂研究所前进化工厂研究所
﻿肇彦茝,﻿前进化工厂研究所前进化工厂研究所
﻿庄绍祖,﻿杨子石化公司水处理中心站
﻿高春满,﻿清华大学化工系清华大学化工系
﻿华亭亭,﻿清华大学化工系清华大学化工系
﻿李风林,﻿河北省环境保护研究所
﻿曾坚,﻿天津化工研究院天津化工研究院
﻿华绍雄,﻿天津化工研究院天津化工研究院
﻿张景宏,﻿山东省济宁市化工研究所山东省济宁市化工研究所
﻿陆书凯,﻿山东省济宁市化工研究所山东省济宁市化工研究所
﻿陈宗仁,﻿山东省济宁市化工研究所山东省济宁市化工研究所
﻿阎书春,﻿阜新矿业学院
﻿李祥定,﻿中国石化总公司四川维尼纶厂化工厂
﻿吴立旭,﻿贵州省遵义碱厂
﻿孙伟,﻿吉林热电厂生技科
﻿汪长春,﻿湖北省黄石火力发电厂
﻿顾耀源,﻿上海化工研究院
﻿倪秀云,﻿山东化工厂
﻿解涛,﻿南开大学
﻿刘维林,﻿南开大学
﻿钱庭宝,﻿南开大学
﻿梁宝珩,﻿云南天然气化工厂
﻿郭起华,﻿湖南省湘潭市绸厂
﻿魏荣森,﻿洛阳环境保护研究所
﻿甘景镐,﻿福建师范大学高分子研究所
﻿杨茂余,﻿南京化工学院应用化学系
﻿杨璋,﻿南京化工学院应用化学系
﻿刘鸿仪,
﻿刘立群,
﻿徐九根,
﻿谢冬根,
﻿王广聚,﻿河南省科学院化学究究所
﻿柴存才,﻿河南省科学院化学究究所
﻿曾隆强,﻿河南省科学院化学究究所
﻿祁辉,﻿河南省科学院化学究究所
﻿田水松,﻿河南省科学院化学究究所
﻿白莉,﻿河南省科学院化学究究所
﻿叶于炳,﻿华东电力试验研究所
﻿杨承伟,﻿华东电力试验研究所
﻿王雄,"﻿
2. 北京市皮革工业学校"
﻿李宁,"﻿
2. 北京市皮革工业学校"
﻿何泉君,"﻿
2. 北京市皮革工业学校"
﻿陈文音,﻿杭州硫酸厂
﻿段崇东,﻿太原化肥厂
﻿张成欣,﻿齐鲁石化公司第二化肥厂
﻿余祚洁,﻿无锡市环保所
﻿江懋钧,﻿无锡市环保所
﻿王一平,﻿上海钢铁研究所
﻿李家泽,"﻿
2. 锦州机务段"
﻿崔培林,"﻿
2. 锦州机务段"
﻿王振宇,"﻿
2. 西北大学化工系"
﻿陈立宇,"﻿
2. 西北大学化工系"
﻿张蕴璧,"﻿
2. 西北大学化工系"
﻿姚兴茂,﻿常德市酒精厂
﻿龚霞波,﻿常德市酒精厂
﻿文孙汉,﻿广西省全州县氮肥厂
﻿郭容修,
﻿刘德福,﻿河北省环境保护研究所
﻿李凤林,﻿河北省环境保护研究所
﻿曹桂芬,﻿河北省环境保护研究所
﻿陈迎春,﻿河北省环境保护研究所
﻿姜宝生,﻿河北省环境保护研究所
﻿全燮,﻿大连理工大学化工学院环境工程研究所
﻿杨凤林,﻿大连理工大学化工学院环境工程研究所
﻿魏耀第,﻿天津市冶金材料研究所；
﻿杨茂余,﻿南京化工学院应用化学系
﻿杨璋,﻿南京化工学院应用化学系
﻿顾爱东,﻿南京化工学院应用化学系
﻿戴天兴,"﻿
2. 青岛建工学院"
﻿解鲁生,"﻿
2. 青岛建工学院"
﻿刘振芳,﻿华南理工大学化工所
﻿张兴泰,﻿华南理工大学化工所
﻿范琼嘉,﻿华南理工大学化工所
﻿彭在均,﻿湖南省劳动卫生研究所
﻿张树生,﻿湖南省劳动卫生研究所
﻿陈智琼,﻿湖南省劳动卫生研究所
﻿张微臣,﻿湖南省劳动卫生研究所
﻿柯伟卿,﻿清华大学化学工程系
﻿郭秋霨,﻿华侨大学化工系
﻿李宰衡,﻿太原铁路分局计量管理分所
﻿徐翠贤,﻿太原铁路分局计量管理分所
﻿张远柱,﻿第二汽车制造厂热电厂
﻿宋琦文,﻿第二汽车制造厂热电厂
﻿李培生,﻿化工部第三设计院
﻿窦照英,﻿华北电力试验研究所
﻿陈惠国,﻿常熟市环保局
﻿薛文源,﻿中国市政工程华北设计院
﻿高隆绪,﻿郑州铁路分局
﻿冯豪,﻿化工部天津化工研究院
﻿刁月民,﻿南京化工学院
﻿沈春光,﻿南京化工学院
﻿吴国明,﻿南京化工学院
﻿王德全,"﻿
2. 有色金属加工厂研究所"
﻿朱龙,"﻿
2. 有色金属加工厂研究所"
﻿张立众,"﻿
2. 有色金属加工厂研究所"
﻿陈修菁,﻿合钢焦化厂
﻿黄晓维,"﻿
2. 中国科学院武汉病毒研究所"
﻿王春生,"﻿
2. 中国科学院武汉病毒研究所"
﻿王孔星,"﻿
2. 中国科学院武汉病毒研究所"
﻿赖林翰,"﻿
2. 中国科学院武汉病毒研究所"
﻿简浩然,"﻿
2. 中国科学院武汉病毒研究所"
﻿苏宏,﻿吉林化工学院
﻿满春生,﻿吉林化工学院
﻿杨润昌,﻿湘潭大学化工系环境工程教研室
﻿周书天,﻿湘潭大学化工系环境工程教研室
﻿王磊,"﻿
2. 山东省卫生防疫站"
﻿张荣新,"﻿
2. 山东省卫生防疫站"
﻿苗建生,﻿河南油田桐柏采油工艺研究所
﻿何芳云,﻿河南油田桐柏采油工艺研究所
﻿赵宝仙,
﻿田丰,﻿江苏省输油管理处贾汪泵站
﻿樊桂修,﻿河北省藁城县化肥厂
﻿王利民,﻿山东潍坊溶剂厂
﻿刘元文,﻿天津纺织工学院
﻿张福林,﻿天津纺织工学院
﻿凌德生,﻿天津纺织工学院
﻿范嗣英,﻿四川石油管理局天然气研究所
﻿王永仪,﻿青岛建筑工程学院
﻿马玉,﻿劳动人事部锅炉局
﻿靳书锦,"﻿
2. 武汉水利电力学院"
﻿张澄信,"﻿
2. 武汉水利电力学院"
﻿汤益良,﻿南京市化工设计研究所
﻿项成林,﻿上海吴泾化工厂
﻿李硕文,﻿西北纺织学院纺化系
﻿陈欣志,﻿辽源市科研所
﻿孟炳林,﻿辽源市科研所
﻿何训章,﻿辽源市科研所
﻿王亚民,﻿辽源市科研所
﻿曾诗箐,"﻿
2. 武汉钢铁设计研究院"
﻿孔繁贵,"﻿
2. 武汉钢铁设计研究院"
﻿韩林安,﻿无锡市锅炉检验所
﻿鄂懋兰,﻿化工部天津化工研究院
﻿奚凤翔,﻿吉林省通化市水处理设备厂
﻿陶钦,﻿荆襄磷矿刘冲矿
﻿赵芳,﻿云南天然气化工厂生技处
﻿陶亨利,﻿湖北省荆州城南热电厂
﻿张敏,﻿苏州市吴县发电厂
﻿赵任辉,﻿南京化工学院
﻿兰洪忠,﻿南京化工学院
﻿严霜,﻿上海宝山钢铁总厂
﻿赵文波,﻿电子工业部第十设计研究院
﻿周成文,﻿大连金光化工厂
﻿周本省,﻿南京化工学院
﻿苏德中,﻿南京化工学院
﻿陆建英,﻿南京化工学院
﻿田修志,
﻿毛素春,﻿南京医学院化学教研究
﻿刘刚,﻿化工部化工机械研究院
﻿牛纹,﻿化工部化工机械研究院
﻿蔡应桃,﻿化工部化工机械研究院
﻿刘志刚,﻿湖南省涂料厂
﻿张淑玲,﻿湖南大学
﻿黄文龙,﻿湖南大学
﻿陈宜群,﻿重庆建筑工程学院
﻿孙凤翔,﻿天津市宁河县制革厂 天津联合余业大学
﻿刘庆昌,"﻿
2. 化工部天津化工研究院"
﻿王淑芬,"﻿
2. 化工部天津化工研究院"
﻿沈炳琦,﻿河北宣化钢铁公司设计室
﻿马玉,﻿劳动部锅炉局
﻿吴玉民,﻿1. 长春吉林省电力试研所;
﻿赵连璞,﻿1. 长春吉林省电力试研所;
﻿隋风秋,﻿齐鲁石化公司橡胶厂
﻿王大中,
﻿周鑫根,﻿浙江省城乡建设厅
﻿王大保,﻿吉林省通化市水处理设备厂
﻿马时申,"﻿
2. 西德卡斯鲁厄尔核研究中心放化所"
﻿马·哈·汉勒,"﻿
2. 西德卡斯鲁厄尔核研究中心放化所"
﻿斯·哈·埃勃勒,"﻿
2. 西德卡斯鲁厄尔核研究中心放化所"
﻿何伟光,"﻿
2. 广州冶金综合厂"
﻿林森树,"﻿
2. 广州冶金综合厂"
﻿陈海华,"﻿
2. 广州冶金综合厂"
﻿陈荣林,﻿厦门利恒涤纶有限公司
﻿朱龙,"﻿
2. 沈阳机电研究设计院"
﻿汤清家,"﻿
2. 沈阳机电研究设计院"
﻿王克俭,﻿湖南大学土木系
﻿李硕文,﻿西北纺织学院纺化系； 西北纺织学院纺化系； 西北纺织学院纺化系 八八届毕业生； 八八届毕业生；
﻿石祥文,﻿西北纺织学院纺化系； 西北纺织学院纺化系； 西北纺织学院纺化系 八八届毕业生； 八八届毕业生；
﻿曹广发,﻿西北纺织学院纺化系； 西北纺织学院纺化系； 西北纺织学院纺化系 八八届毕业生； 八八届毕业生；
﻿乔长顺,﻿北京铀矿选冶研究所
﻿李志华,﻿北京铀矿选冶研究所
﻿杨彦新,﻿北京铀矿选冶研究所
﻿陈毓琛,﻿大连理工大学环境工程研究所
﻿全燮,﻿大连理工大学环境工程研究所
﻿童梓和,﻿大连理工大学环境工程研究所
﻿赵雅芝,﻿大连理工大学环境工程研究所
﻿周集体,﻿大连理工大学环境工程研究所
﻿杨凤林,﻿大连理工大学环境工程研究所
﻿俞斌,﻿南京化工学院应用化学系
﻿俞明华,﻿南京化工学院应用化学系
﻿方庆发,﻿安庆石化总厂化肥厂
﻿刘平,﻿江苏省铜山县政府经济研究中心
﻿陈绍平,﻿本刊通讯员
﻿杨硕芳,﻿湖南大学环境保护研究所
﻿陆浩,﻿北京经济学院
﻿吴立旭,﻿贵州遵义碱厂
﻿刘凡清,﻿东北电力学院
﻿李俊文,﻿东北电力学院
﻿姚继贤,﻿东北电力学院
﻿朱清泉,﻿成都科技大学高分子研究所
﻿张吉顺,﻿吉林化工学院化工系
